episode_id,created_at,updated_at,tv_show_name,user_id,tv_show_id
5100930,2018-10-20 22:07:07,2018-10-20 22:07:07,Cucumber,5449324,290623
5648538,2016-07-12 22:12:50,2016-07-12 22:12:50,Between,5449324,293194
5841463,2017-05-03 11:12:35,2017-05-03 11:12:35,Scream Queens,5449324,293302
7250763,2019-07-29 06:40:17,2019-07-29 06:40:17,Scream: The TV Series,5449324,294417
5202318,2021-12-20 23:43:40,2021-12-20 23:43:40,Trollz,5449324,294729
5302888,2019-07-01 13:59:26,2019-07-01 13:59:26,Lucifer,5449324,295685
5230390,2016-02-03 15:29:05,2016-02-03 15:29:05,Hjørdis,5449324,295727
5397199,2017-11-04 23:58:04,2017-11-04 23:58:04,Crazy Ex-Girlfriend,5449324,295777
5865454,2018-04-08 13:04:21,2018-04-08 13:04:21,Shadowhunters,5449324,295837
6264661,2018-02-19 22:20:10,2018-02-19 22:20:10,Glitch (2015),5449324,296550
6678940,2018-07-08 11:39:33,2018-07-08 11:39:33,Westworld,5449324,296762
5816249,2017-06-29 21:17:33,2017-06-29 21:17:33,Stupid Questions,5449324,296967
5298530,2021-01-23 12:08:37,2021-01-23 12:08:37,The Magicians (2015),5449324,299139
6317623,2017-11-17 15:18:19,2017-11-17 15:18:19,Project Mc²,5449324,299260
5458767,2019-08-29 09:53:23,2019-08-29 09:53:23,You'll Die Less Stupid,5449324,299856
7777808,2020-11-02 22:57:04,2020-11-02 22:57:04,Call My Agent!,5449324,300247
5348150,2016-02-23 01:45:12,2016-02-23 01:45:12,Elise's Secret,5449324,300699
5925494,2017-04-16 23:13:54,2017-04-16 23:13:54,Chewing Gum,5449324,301562
5866692,2017-06-29 21:09:39,2017-06-29 21:09:39,Le Woop,5449324,302102
7093058,2021-03-25 19:07:18,2021-03-25 19:07:18,Miraculous: Tales of Ladybug & Cat Noir,5449324,302218
6945096,2018-12-23 18:16:51,2018-12-23 18:16:51,Skam,5449324,303786
5545823,2017-10-30 23:10:33,2017-10-30 23:10:33,Marvel's Luke Cage,5449324,304219
6111591,2017-12-08 16:49:41,2017-12-08 16:49:41,Wanted (2016),5449324,304591
5570622,2021-05-01 20:09:03,2021-05-01 20:09:03,My Hero Academia,5449324,305074
7197111,2019-07-01 21:05:35,2019-07-01 21:05:35,Slasher,5449324,305194
6933995,2019-07-21 17:45:13,2019-07-21 17:45:13,Stranger Things,5449324,305288
6590587,2018-04-09 21:00:04,2018-04-09 21:00:04,Love,5449324,305378
5474001,2019-03-09 16:41:38,2019-03-09 16:41:38,The Crown,5449324,305574
7290837,2019-07-25 01:37:41,2019-07-25 01:37:41,Big Little Lies,5449324,305719
6653601,2019-01-03 04:17:45,2019-01-03 04:17:45,A Series of Unfortunate Events,5449324,306304
7093861,2019-07-18 13:27:48,2019-07-18 13:27:48,You Me Her,5449324,309130
5570701,2016-05-16 20:27:59,2016-05-16 20:27:59,Sam (2016),5449324,309835
6163488,2017-06-30 01:54:31,2017-06-30 01:54:31,,5449324,311312
7381120,2022-06-22 23:56:03,2022-06-22 23:56:03,The Good Place,5449324,311711
5711416,2016-11-15 18:18:58,2016-11-15 18:18:58,Timeless (2016),5449324,311713
5737314,2017-05-28 22:59:53,2017-05-28 22:59:53,This Is Us,5449324,311714
6415451,2018-04-20 22:49:14,2018-04-20 22:49:14,The Exorcist,5449324,311816
6751825,2018-07-18 03:05:37,2018-07-18 03:05:37,Marlon,5449324,311901
6012833,2017-05-31 21:43:43,2017-05-31 21:43:43,Still Star-Crossed,5449324,311908
7142226,2019-05-17 18:01:47,2019-05-17 18:01:47,Riverdale,5449324,311954
5797995,2016-12-17 14:22:25,2016-12-17 14:22:25,Frequency,5449324,311958
6395205,2018-07-02 00:58:54,2018-07-02 00:58:54,Dirk Gently's Holistic Detective Agency,5449324,312505
7481529,2019-12-22 03:43:53,2019-12-22 03:43:53,Beautiful Loser,5449324,312515
5680590,2016-10-03 15:51:08,2016-10-03 15:51:08,,5449324,312978
6371862,2017-10-21 16:39:16,2017-10-21 16:39:16,Haters Back Off,5449324,313589
6089150,2017-05-17 15:39:21,2017-05-17 15:39:21,Startup Heroes,5449324,314288
6973736,2019-04-11 20:33:22,2019-04-11 20:33:22,High Maintenance (2016),5449324,314324
5868368,2017-06-04 12:05:24,2017-06-04 12:05:24,,5449324,314427
6795576,2019-07-22 03:04:47,2019-07-22 03:04:47,Naked Attraction,5449324,314821
6644527,2018-04-12 09:50:25,2018-04-12 09:50:25,,5449324,315250
7200236,2019-05-24 16:58:01,2019-05-24 16:58:01,,5449324,315991
7428592,2020-04-26 22:32:54,2020-04-26 22:32:54,Grown Ups (2016),5449324,316176
5772705,2016-12-25 02:52:18,2016-12-25 02:52:18,Pokémon Generations,5449324,316998
6780697,2019-02-27 15:10:07,2019-02-27 15:10:07,The Deuce,5449324,317728
7187758,2022-06-11 02:33:15,2022-06-11 02:33:15,Paquita Salas,5449324,317995
5796168,2017-02-08 15:35:31,2017-02-08 15:35:31,Crazyhead,5449324,318000
5920641,2017-08-26 04:12:35,2017-08-26 04:12:35,Little Witch Academia,5449324,318161
6939229,2019-02-17 13:42:58,2019-02-17 13:42:58,One Day at a Time (2017),5449324,318363
5958423,2018-07-17 01:57:46,2018-07-17 01:57:46,The Throne of Frogz,5449324,318432
5812495,2023-01-22 19:14:36,2023-01-22 19:14:36,Great Greek Myths,5449324,318970
5821287,2017-07-02 22:35:33,2017-07-02 22:35:33,La Loove,5449324,319222
5852015,2020-12-18 23:29:04,2020-12-18 23:29:04,Lastman,5449324,319531
7098816,2019-05-10 19:57:24,2019-05-10 19:57:24,,5449324,320344
7109112,2019-04-06 11:20:38,2019-04-06 11:20:38,Santa Clarita Diet,5449324,320450
6760522,2018-07-14 15:48:28,2018-07-14 15:48:28,Bapt & Gaël and the Adventures of the Cosmic Ball,5449324,320613
6455702,2019-05-08 13:05:12,2019-05-08 13:05:12,The OA,5449324,321060
8319642,2021-06-22 21:08:23,2021-06-22 21:08:23,The Handmaid's Tale,5449324,321239
5897857,2018-02-15 21:00:36,2018-02-15 21:00:36,Prof T.,5449324,321746
7093124,2019-08-09 12:14:55,2019-08-09 12:14:55,The Worst Witch (2017),5449324,321884
5963296,2017-04-22 22:39:49,2017-04-22 22:39:49,Girlboss,5449324,322246
7221292,2019-06-04 21:49:43,2019-06-04 21:49:43,,5449324,322332
6561021,2018-07-19 20:58:12,2018-07-19 20:58:12,,5449324,322358
