emotion_id,count,created_at,updated_at,tv_show_name,tv_show_id,user_id
3,1,2021-11-19 22:45:04,2021-11-20 03:22:22,Love Never Lies,401155,5449324
6,0,2022-08-07 01:38:37,2022-08-07 01:38:42,Uncoupled,402799,5449324
7,2,2022-08-07 01:38:37,2022-08-07 01:38:46,Uncoupled,402799,5449324
6,1,2025-09-03 16:39:46,2025-09-03 16:39:53,The Big Door Prize,403752,5449324
8,2,2025-09-03 16:39:49,2025-09-03 16:39:53,The Big Door Prize,403752,5449324
1,1,2022-08-06 02:36:43,2022-08-06 02:36:43,DROP (2021),405555,5449324
3,2,2022-08-06 01:52:29,2022-08-06 05:35:32,DROP (2021),405555,5449324
6,1,2023-07-26 06:11:57,2023-07-26 06:11:57,The Idol (2023),405882,5449324
7,0,2023-07-26 06:11:55,2023-07-26 06:11:57,The Idol (2023),405882,5449324
1,1,2022-06-22 09:14:37,2022-06-22 09:14:37,AlRawabi School for Girls,407227,5449324
3,4,2022-06-22 07:36:18,2022-06-22 12:00:27,AlRawabi School for Girls,407227,5449324
6,2,2022-06-23 04:55:12,2022-06-23 05:20:38,An Astrological Guide for Broken Hearts,410984,5449324
7,1,2022-06-23 04:55:18,2022-06-23 05:20:36,An Astrological Guide for Broken Hearts,410984,5449324
8,1,2022-06-23 04:55:10,2022-06-23 04:55:10,An Astrological Guide for Broken Hearts,410984,5449324
1,1,2022-01-21 12:15:53,2022-01-21 12:15:53,Fraggle Rock: Back to the Rock,412536,5449324
1,2,2023-07-14 21:55:58,2023-07-28 20:52:50,Drag Race France,412594,5449324
3,10,2022-06-26 13:11:28,2023-08-25 22:09:43,Drag Race France,412594,5449324
3,4,2022-07-26 19:43:28,2022-07-26 21:26:11,Queen (2022),416054,5449324
1,3,2025-03-17 23:43:53,2025-03-17 23:44:09,Baby Reindeer,417223,5449324
3,1,2025-03-17 23:44:13,2025-03-17 23:44:13,Baby Reindeer,417223,5449324
1,2,2022-07-16 07:25:52,2022-07-16 07:25:53,Loot,417559,5449324
3,0,2022-07-16 07:25:50,2022-07-16 07:25:52,Loot,417559,5449324
8,1,2022-08-06 00:26:06,2022-08-06 00:26:06,Loot,417559,5449324
1,0,2023-06-23 12:41:41,2023-06-23 12:41:44,Chair tendre,418015,5449324
3,1,2023-06-23 12:41:43,2023-06-23 12:41:48,Chair tendre,418015,5449324
3,2,2022-08-20 22:20:46,2022-08-21 00:08:14,Bad Sisters,418182,5449324
6,1,2025-08-04 19:56:52,2025-08-04 19:56:55,Chief of War,418633,5449324
8,0,2025-08-04 19:56:54,2025-08-04 19:56:55,Chief of War,418633,5449324
1,1,2022-08-05 01:22:17,2022-08-05 01:22:17,Endless Night,420180,5449324
3,1,2022-08-05 01:22:16,2022-08-05 01:22:16,Endless Night,420180,5449324
8,1,2022-08-05 01:22:18,2022-08-05 01:22:18,Endless Night,420180,5449324
1,4,2022-06-05 23:16:15,2022-06-06 01:07:17,A Very Ordinary World,420427,5449324
3,3,2022-06-05 23:16:08,2022-06-06 01:07:17,A Very Ordinary World,420427,5449324
8,2,2022-06-05 23:41:25,2022-06-06 00:43:41,A Very Ordinary World,420427,5449324
3,6,2022-09-02 21:17:59,2022-09-02 21:18:16,Off the Hook (2022),423062,5449324
1,0,2025-10-14 20:08:02,2025-10-14 20:08:03,Boots,434473,5449324
