tv_show_name,user_id,tv_show_id,is_followed,is_favorited,nb_episodes_seen
Love,5449324,305378,1,0,34
The Crown,5449324,305574,1,0,1
Big Little Lies,5449324,305719,1,1,14
Degrassi: Next Class,5449324,305913,0,0,0
Flaked,5449324,306249,0,0,0
A Series of Unfortunate Events,5449324,306304,1,0,25
Cooked,5449324,307176,0,0,0
,5449324,309006,0,0,0
You Me Her,5449324,309130,1,0,40
Sam (2016),5449324,309835,1,0,6
Class,5449324,309893,0,0,0
Dead of Summer,5449324,309992,1,0,0
,5449324,311269,0,0,0
,5449324,311312,0,0,26
The Good Place,5449324,311711,1,1,43
Timeless (2016),5449324,311713,1,0,4
This Is Us,5449324,311714,0,0,3
The Exorcist,5449324,311816,1,0,20
Designated Survivor,5449324,311876,0,0,0
Marlon,5449324,311901,1,0,20
Still Star-Crossed,5449324,311908,0,0,1
Riverdale,5449324,311954,1,0,57
Frequency,5449324,311958,1,0,8
Gilmore Girls: A Year in the Life,5449324,311987,0,0,0
,5449324,312444,0,0,0
Dirk Gently's Holistic Detective Agency,5449324,312505,1,0,18
Beautiful Loser,5449324,312515,1,0,30
,5449324,312978,0,0,0
Haters Back Off,5449324,313589,1,0,16
Startup Heroes,5449324,314288,0,0,17
High Maintenance (2016),5449324,314324,1,0,25
,5449324,314427,0,0,20
Travelers (2016),5449324,314544,0,0,0
Fleabag,5449324,314614,1,0,0
Naked Attraction,5449324,314821,0,0,1
Easy,5449324,314884,1,0,0
,5449324,315250,0,0,75
Eyewitness,5449324,315460,0,0,0
,5449324,315991,0,0,160
Grown Ups (2016),5449324,316176,1,0,30
Captain Marleau,5449324,316274,0,0,0
Pokémon Generations,5449324,316998,0,0,18
The Deuce,5449324,317728,1,0,10
Marvel's Iron Fist,5449324,317953,0,0,0
Paquita Salas,5449324,317995,1,0,16
Crazyhead,5449324,318000,1,0,6
Little Witch Academia,5449324,318161,0,0,25
One Day at a Time (2017),5449324,318363,1,0,39
Munch,5449324,318425,0,0,0
