monthly_score,tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score
100,The Hook Up Plan,5449324,354556,1641309844,100,100
35,Daybreak (2019),5449324,354735,1574942066,35,35
100,The Act,5449324,354765,1621154226,100,100
100,Don't Watch This,5449324,354780,1541126577,100,100
100,,5449324,354830,1544563600,100,100
100,The Dead Girls Detective Agency,5449324,355312,1547417179,100,100
70,Fam,5449324,356093,1547499012,70,70
100,Sex Education,5449324,356317,1706917147,100,100
100,Big Head,5449324,356399,1545653176,100,100
100,Russian Doll,5449324,356640,1654487751,100,100
100,Roger and his humans,5449324,356728,1544871618,100,100
35,"Love, Death & Robots",5449324,357888,1621466203,35,35
100,What We Do in the Shadows,5449324,358211,1597570292,100,100
100,Pretty Little Liars: The Perfectionists,5449324,358590,1556921051,100,100
100,Quicksand,5449324,358977,1555462382,100,100
100,Osmosis (2019),5449324,359238,1565834853,100,100
100,Good Omens,5449324,359569,1566516265,100,100
100,The Order,5449324,359675,1555607489,100,100
35,Riccanza World,5449324,360188,1551562777,35,35
100,Euphoria (US),5449324,360261,1780515259,100,100
100,Ares,5449324,360354,1579726400,100,100
100,No Good Nick,5449324,360627,1567358480,100,100
80,Chernobyl,5449324,360893,1557358456,80,80
100,How to Sell Drugs Online (Fast),5449324,361034,1603820276,100,100
100,Huge in France,5449324,361276,1555272795,100,100
100,The Politician,5449324,361411,1597572305,100,100
100,The Society,5449324,361558,1561235597,100,100
100,The Morning Show,5449324,361563,1572650256,100,100
100,See,5449324,361565,1746262883,100,100
100,Dickinson,5449324,361566,1656010305,100,100
35,Mythomaniac,5449324,361569,1572657224,35,35
100,Locke & Key,5449324,361594,1581104908,100,100
35,Curon,5449324,361739,1603820174,35,35
100,Dead to Me,5449324,361857,1671833997,100,100
35,Home Before Dark,5449324,362004,1586997414,35,35
100,Monsters at Work,5449324,362280,1654123056,100,100
100,It's Bruno!,5449324,362578,1561133187,100,100
70,The Witcher,5449324,362696,1577159575,70,70
100,Flinch,5449324,362788,1590001265,100,100
100,Mythic Quest,5449324,362829,1583759539,100,100
35,Florida Girls,5449324,363682,1563490005,35,35
100,Mouche,5449324,364009,1560032029,100,100
100,Trinkets,5449324,364082,1603820149,100,100
100,Emily in Paris,5449324,364439,1671753072,100,100
100,Family Business (2019),5449324,364468,1636056017,100,100
35,Ratched,5449324,364870,1608242789,35,35
100,Why Women Kill,5449324,365069,1644792223,100,100
100,Marianne,5449324,365442,1568907244,100,100
100,KAOS,5449324,365700,1732371401,100,100
70,Greg Guillotin: Worst Trainee Ever,5449324,365972,1562353247,70,70
100,Snoopy in Space,5449324,367015,1583761241,100,100
35,Unbelievable,5449324,367030,1603711416,35,35
100,Dollface,5449324,367553,1672572237,100,100
35,Diary of a Future President,5449324,368111,1589115971,35,35
100,Amazing Stories (2020),5449324,368120,1586350457,100,100
35,Defending Jacob,5449324,368122,1590098356,35,35
100,Little America,5449324,368123,1580091882,100,100
100,Servant,5449324,368126,1580087239,100,100
100,"Love, Victor",5449324,368188,1655348087,100,100
100,Living with Yourself,5449324,368523,1654660069,100,100
35,Into the Night,5449324,369076,1590098299,35,35
35,,5449324,369097,1577849888,35,35
100,Mental (2019),5449324,369209,1621777597,100,100
100,Stalk,5449324,369213,1771483566,100,100
100,Ghostwriter (2019),5449324,369490,1590098275,100,100
100,The Circle France,5449324,369955,1587458723,100,100
70,Nailed It! France,5449324,370082,1573387856,70,70
35,War of the Worlds (2019),5449324,370139,1573396909,35,35
35,The Mosquito Coast,5449324,370360,1620265999,35,35
100,Burning Love (FR),5449324,371079,1654633112,100,100
100,Mortel,5449324,371258,1627227090,100,100
100,I May Destroy You,5449324,371798,1608242884,100,100
100,Normal People,5449324,371806,1647182578,100,100
100,Dash & Lily,5449324,371940,1606775875,100,100
35,Inventing Anna,5449324,371944,1757619369,35,35
100,Severance,5449324,371980,1742972023,100,100
100,Don't F**k with Cats: Hunting an Internet Killer,5449324,372566,1576873358,100,100
35,The Stranger,5449324,374977,1582841318,35,35
35,Landscapers,5449324,375516,1662136575,35,35
100,True Story With,5449324,375575,1593721848,100,100
100,Trying,5449324,375903,1662119438,100,100
100,Lupin,5449324,375921,1630185499,100,100
100,I Am Not Okay With This,5449324,375998,1583021071,100,100
100,Alice in Borderland (2020),5449324,376472,1761002401,100,100
100,Vampires (2020),5449324,377240,1744144698,100,100
35,The Midnight Gospel,5449324,378553,1655932778,35,35
100,Never Have I Ever,5449324,378746,1741470274,100,100
100,It's a Sin,5449324,378994,1618095636,100,100
100,Too Hot to Handle,5449324,379962,1689622784,100,100
100,One of Us Is Lying,5449324,380210,1684527497,100,100
100,Control Z,5449324,380850,1591560045,100,100
100,Behind Her Eyes,5449324,380991,1619047631,100,100
100,Genera+ion,5449324,381493,1639008122,100,100
100,American Horror Stories,5449324,382187,1733832596,100,100
100,Mixte,5449324,382571,1693532364,100,100
100,Squid Game,5449324,383275,1752189943,100,100
100,,5449324,383784,1675012071,100,100
100,The Afterparty,5449324,384495,1705848043,100,100
100,3615 Monique,5449324,385371,1671426438,100,100
70,Teenage Bounty Hunters,5449324,385713,1603820080,70,70
100,The One (2021),5449324,387054,1618075213,100,100
100,The Queen's Gambit,5449324,387115,1738248281,100,100
100,Monster (2022),5449324,389492,1769406963,100,100
35,Rhythm + Flow France,5449324,390403,1655415723,35,35
100,The White Lotus,5449324,390430,1744514562,100,100
100,Maldivas,5449324,391367,1655412548,100,100
35,Dirty Lines,5449324,391440,1662200740,35,35
100,Welcome to Eden,5449324,393110,1652482142,100,100
100,Mr. Corman,5449324,393156,1630292052,100,100
70,Tear Along the Dotted Line,5449324,394680,1637960827,70,70
100,Heartstopper,5449324,395494,1730170110,100,100
100,Heartbreak High (2022),5449324,396115,1741450138,100,100
70,Physical,5449324,396346,1624394370,70,70
100,Dr. Brain,5449324,396362,1636050486,100,100
100,"Boo, Bitch",5449324,396374,1658937093,100,100
35,,5449324,396458,1613673473,35,35
100,The Summer I Turned Pretty,5449324,396505,1774501955,100,100
100,Wednesday,5449324,397060,1758605047,100,100
70,"Miskina, Poor Thing",5449324,399625,1692572387,70,70
100,Young Royals,5449324,399833,1741468412,100,100
100,Only Murders in the Building,5449324,399959,1661315800,100,100
100,Sex!fy,5449324,399966,1619882161,100,100
100,LOL: Last One Laughing - France,5449324,400292,1745917562,100,100
100,Open Your Eyes,5449324,400424,1659576370,100,100
100,Asterix & Obelix: The Big Fight,5449324,400716,1752189945,100,100
100,Insiders (2021),5449324,401154,1654385076,100,100
70,Love Never Lies,5449324,401155,1671400640,70,70
35,Uncoupled,5449324,402799,1659836325,35,35
35,Generation 56k,5449324,403584,1637891067,35,35
100,The Big Door Prize,5449324,403752,1757185733,100,100
