created_at,updated_at,tv_show_name,user_id,tv_show_id
2019-05-08 13:36:50,2019-05-08 13:36:50,Naruto Shippuden,5449324,79824
2020-08-24 21:20:45,2020-08-24 21:20:45,Mickey Mouse Clubhouse,5449324,79854
2020-10-27 22:39:33,2020-10-27 22:39:33,The Big Bang Theory,5449324,80379
2022-06-01 19:52:34,2022-06-01 19:52:34,Gossip Girl,5449324,80547
2025-12-06 13:15:33,2025-12-06 13:15:33,Special A,5449324,81752
2020-08-24 21:19:17,2020-08-24 21:19:17,Pucca,5449324,81774
2024-01-21 16:19:27,2024-01-21 16:19:27,A Guy And A Girl,5449324,81791
2019-05-08 13:36:20,2019-05-08 13:36:20,One Piece,5449324,81797
2020-08-24 21:19:03,2020-08-24 21:19:03,Strawberry Panic!,5449324,81852
2025-01-09 22:59:46,2025-01-09 22:59:46,Bakugan Battle Brawlers,5449324,82832
2025-12-06 13:14:32,2025-12-06 13:14:32,Wolverine and the X-Men,5449324,82870
2020-08-24 21:20:09,2020-08-24 21:20:09,Huntik: Secrets & Seekers,5449324,84391
2025-12-06 13:15:30,2025-12-06 13:15:30,KissXSis,5449324,84768
2022-01-24 21:30:32,2022-01-24 21:30:32,RuPaul's Drag Race,5449324,85002
2024-01-21 16:18:22,2024-01-21 16:18:22,Wakfu,5449324,94121
2020-10-27 22:35:06,2020-10-27 22:35:06,The Vampire Diaries,5449324,95491
2024-01-21 16:17:31,2024-01-21 16:17:31,Plus Belle La Vie,5449324,97371
2019-07-09 21:18:28,2019-07-09 21:18:28,Fairy Tail,5449324,114801
2026-02-21 23:29:31,2026-02-21 23:29:31,Rainbow (2010),5449324,141121
2024-01-21 16:18:50,2024-01-21 16:18:50,The Garfield Show,5449324,145371
2021-07-14 13:15:04,2021-07-14 13:15:04,Victorious,5449324,152721
2020-10-27 22:33:33,2020-10-27 22:33:33,Adventure Time,5449324,152831
2019-05-08 13:36:36,2019-05-08 13:36:36,The Walking Dead,5449324,153021
2024-01-21 16:18:29,2024-01-21 16:18:29,Scènes de ménages,5449324,155291
2020-12-03 21:27:04,2020-12-03 21:27:04,Scooby-Doo! Mystery Incorporated,5449324,174681
2020-12-03 21:26:09,2020-12-03 21:26:09,Teen Wolf,5449324,175001
2025-12-06 13:15:36,2025-12-06 13:15:36,Young Justice,5449324,192061
2024-01-21 16:18:48,2024-01-21 16:18:48,My Friend Marsupilami,5449324,208041
2020-08-24 21:19:10,2020-08-24 21:19:10,The Tyrant Falls in Love,5449324,223711
2024-01-21 16:19:21,2024-01-21 16:19:21,Love in Paris,5449324,233981
2025-12-06 13:16:47,2025-12-06 13:16:47,The Looney Tunes Show,5449324,248368
2020-10-27 22:38:27,2020-10-27 22:38:27,The Amazing World of Gumball,5449324,248482
2025-12-06 13:13:44,2025-12-06 13:13:44,Dragon Ball Z Abridged,5449324,248580
2024-01-21 16:17:33,2024-01-21 16:17:33,Love is in the Meadow,5449324,249952
