user_id,tv_show_id,rating,created_at,updated_at,tv_show_name
5449324,318432,4,2018-07-17 22:07:52,2018-07-17 22:07:54,The Throne of Frogz
5449324,320450,5,2017-08-02 06:18:01,2017-08-02 06:18:01,Santa Clarita Diet
5449324,321239,5,2017-08-02 06:17:47,2017-08-02 06:17:47,The Handmaid's Tale
5449324,322332,3.50,2018-07-23 00:10:57,2018-07-23 00:10:59,
5449324,323225,3.50,2018-10-15 20:31:03,2018-10-15 20:31:03,Cable Girls
5449324,324835,2,2018-07-23 00:11:23,2018-07-23 00:11:23,GLOW
5449324,324916,2,2018-08-09 13:50:54,2018-08-09 13:50:56,Kiss Me First
5449324,326866,2,2018-09-02 22:03:26,2018-10-15 20:30:09,The Sinner
5449324,327359,3.50,2018-07-04 00:47:16,2018-07-04 00:47:19,Disjointed
5449324,328292,3,2018-07-04 00:47:45,2018-07-04 00:47:45,Gypsy
5449324,328535,3.50,2018-07-10 13:04:49,2018-07-10 13:04:49,Champions
5449324,328577,5,2018-07-11 18:01:58,2018-07-11 18:01:58,Good Girls
5449324,328775,0.50,2018-10-17 17:15:23,2018-10-17 17:15:23,Tomorrow is Ours
5449324,329089,2.50,2017-10-23 19:02:49,2017-10-23 19:02:50,Ozark
5449324,329586,0.50,2018-07-04 00:46:21,2018-07-04 00:46:26,Alias Grace
5449324,330433,2.50,2017-08-02 06:11:57,2017-08-02 06:11:57,Presque adultes
5449324,331431,2.50,2018-10-15 20:30:24,2018-10-15 20:30:24,Big Mouth
5449324,332828,2.50,2018-10-13 19:12:45,2018-10-13 19:12:45,American Vandal
5449324,332963,5,2017-08-08 09:07:34,2017-08-21 21:12:53,The Bar Mitzvah
5449324,337395,4.50,2018-07-23 10:29:26,2018-07-23 10:29:27,Raising Hitler
5449324,338301,4.50,2018-05-11 10:11:18,2018-07-20 03:22:42,gaelle garcia diaz
5449324,340973,3.50,2018-09-30 09:06:17,2018-09-30 09:06:17,Fifty Shades of Greeks
5449324,341902,4.50,2018-05-11 10:11:37,2018-05-11 10:11:37,Skam France
5449324,343435,1,2018-07-08 23:59:24,2018-07-17 20:44:15,Sacred Games
5449324,343656,3,2018-04-11 11:31:57,2018-04-11 11:31:57,Derren Brown: The Push
5449324,345948,5,2018-04-18 23:17:38,2018-04-18 23:17:38,Vermin
5449324,346174,3.50,2018-07-17 19:27:34,2018-07-17 19:27:41,Pêche Aubergine
5449324,346602,2.50,2018-09-02 14:26:06,2018-09-02 17:35:56,Sharp Objects
5449324,346744,3,2018-07-04 00:45:57,2018-07-04 00:45:57,Aggretsuko
5449324,347325,2.50,2018-09-01 00:05:10,2018-09-01 00:05:10,The House of Flowers
5449324,347726,2,2018-10-15 20:26:21,2018-10-15 20:26:21,The Hollow (2018)
5449324,347903,2.50,2018-08-09 14:48:29,2018-08-09 14:48:29,Explained
5449324,348117,5,2018-08-16 15:40:26,2018-08-16 15:40:30,Insatiable
5449324,348922,2.50,2018-09-03 00:43:51,2018-09-03 00:43:53,Paradise PD
5449324,350191,3,2018-07-19 00:16:23,2018-07-19 00:16:25,Peepoodo
5449324,350864,1,2018-09-29 07:22:16,2018-09-29 07:22:16,Maniac (2018)
