uuid,user_id,episode_id,vote_key,movie_name
877d5e4d-30db-47f9-85e8-c3d9b975f33c,5449324,0,877d5e4d-30db-47f9-85e8-c3d9b975f33c-5449324-29,Arthur 3 : La Guerre des deux mondes
4266e1ec-4e7e-40dd-b863-512354f91a40,5449324,0,4266e1ec-4e7e-40dd-b863-512354f91a40-5449324-29,A mon seul désir
2441a861-c846-4a3c-b365-32f720426143,5449324,0,2441a861-c846-4a3c-b365-32f720426143-5449324-29,Alien
bb52ce42-a7e5-482c-8127-8a53283965ac,5449324,0,bb52ce42-a7e5-482c-8127-8a53283965ac-5449324-29,Inside Out 2
61032b7c-920a-441f-84a7-d4e31569341c,5449324,0,61032b7c-920a-441f-84a7-d4e31569341c-5449324-27,Baisers volés
d2848284-c359-4255-8a6c-dcb804ac701f,5449324,0,d2848284-c359-4255-8a6c-dcb804ac701f-5449324-3,Nos jours heureux
7ff969cc-3783-4a42-bbbc-2c317de1ee17,5449324,0,7ff969cc-3783-4a42-bbbc-2c317de1ee17-5449324-1,Bros
ea2310c3-8f2c-464f-b0b8-d52b15091a61,5449324,0,ea2310c3-8f2c-464f-b0b8-d52b15091a61-5449324-1,Die My Love
d282c1fb-cf02-42c1-8248-017fe5ad001a,5449324,0,d282c1fb-cf02-42c1-8248-017fe5ad001a-5449324-3,Chouchou
b47cb2a3-4dcf-40bd-964d-98f5f1f70553,5449324,0,b47cb2a3-4dcf-40bd-964d-98f5f1f70553-5449324-28,Ducobu 3
46bc35de-debc-425f-952c-d505241dcfa9,5449324,0,46bc35de-debc-425f-952c-d505241dcfa9-5449324-3,Vilaine
8a142746-1fad-4c07-91c1-4cf970940c33,5449324,0,8a142746-1fad-4c07-91c1-4cf970940c33-5449324-27,Bird Box
14eb9a75-6e19-428c-95f9-3f17ec7efbae,5449324,0,14eb9a75-6e19-428c-95f9-3f17ec7efbae-5449324-1,Mon Ket
cb9cab1f-c768-43c8-8f5e-fa8aeea9e4d8,5449324,0,cb9cab1f-c768-43c8-8f5e-fa8aeea9e4d8-5449324-3,Antoinette dans les Cévennes
2355f5a2-058e-468c-931d-1da1849e83c3,5449324,0,2355f5a2-058e-468c-931d-1da1849e83c3-5449324-29,Vivarium
be0ebb27-e226-497c-b2b3-716f80bb1bbd,5449324,0,be0ebb27-e226-497c-b2b3-716f80bb1bbd-5449324-3,Le Grand bleu
898a5cae-f49a-4bf1-9479-b092d6922613,5449324,0,898a5cae-f49a-4bf1-9479-b092d6922613-5449324-3,House of Gucci
39bdc626-7d81-420e-b699-f56038a83528,5449324,0,39bdc626-7d81-420e-b699-f56038a83528-5449324-29,アーヤと魔女
3bc5166e-0b1a-4322-94f8-ee71639654ce,5449324,0,3bc5166e-0b1a-4322-94f8-ee71639654ce-5449324-28,Big Hero 6
45836f29-afa4-4ea8-b9d7-d9b58361e5fa,5449324,0,45836f29-afa4-4ea8-b9d7-d9b58361e5fa-5449324-27,Pokémon The Movie: Mewtwo Strikes Back Evolution
c5278a9a-77c8-483f-9806-93559e3902e7,5449324,0,c5278a9a-77c8-483f-9806-93559e3902e7-5449324-3,Knives Out
f45c70ab-45ef-4938-8ec1-883a5e8b6fda,5449324,0,f45c70ab-45ef-4938-8ec1-883a5e8b6fda-5449324-3,Lucy
e9125678-68eb-4f9b-a16f-67ad7372e4da,5449324,0,e9125678-68eb-4f9b-a16f-67ad7372e4da-5449324-3,Freaky Friday
1f07f453-950f-450f-a28c-831d34211bf3,5449324,0,1f07f453-950f-450f-a28c-831d34211bf3-5449324-27,Mes jours de gloire
488b1c2a-9ace-42e7-a987-6c43d20d6af1,5449324,0,488b1c2a-9ace-42e7-a987-6c43d20d6af1-5449324-27,Call Me by Your Name
5e3a85ab-12d5-4af3-8fd0-eeb5c0163d6c,5449324,0,5e3a85ab-12d5-4af3-8fd0-eeb5c0163d6c-5449324-1,Challengers
6aab24a7-accb-482f-8f6d-a26f397a4d06,5449324,0,6aab24a7-accb-482f-8f6d-a26f397a4d06-5449324-29,"OSS 117 : Le Caire, nid d'espions"
2abf2f54-e227-4594-b810-8554954d8997,5449324,0,2abf2f54-e227-4594-b810-8554954d8997-5449324-3,Animal Crossing: The Movie
d8486500-b047-427e-b9ab-4504fcb9ded6,5449324,0,d8486500-b047-427e-b9ab-4504fcb9ded6-5449324-28,The Hustle
8de97903-79f4-4fc1-ad40-06667e07e02d,5449324,0,8de97903-79f4-4fc1-ad40-06667e07e02d-5449324-3,Le Jeu
f60847ad-af62-4f51-ad2b-61a7e0adf150,5449324,0,f60847ad-af62-4f51-ad2b-61a7e0adf150-5449324-3,Slumdog Millionaire
1f83e198-00b3-4922-8278-12e63ebe18b8,5449324,0,1f83e198-00b3-4922-8278-12e63ebe18b8-5449324-3,The Golden Dream
8ef12c09-c030-4ccf-ba3e-ed313393a427,5449324,0,8ef12c09-c030-4ccf-ba3e-ed313393a427-5449324-28,Dune: Part One
e1e7296c-c66c-4730-939c-930d412337fd,5449324,0,e1e7296c-c66c-4730-939c-930d412337fd-5449324-3,Suck Me Shakespeer
6654e835-58ac-4258-95af-cfc2919a1c77,5449324,0,6654e835-58ac-4258-95af-cfc2919a1c77-5449324-28,Isi & Ossi
