updated_at,tv_show_name,episode_season_number,episode_number,user_id,episode_id,watched_on_source_id,created_at
2018-04-07 07:45:58,Derren Brown: The Push,1,1,5449324,6578093,4,2018-04-07 07:45:58
2018-04-17 00:01:34,The Simpsons,29,16,5449324,6578966,3,2018-04-17 00:01:34
2018-03-03 08:36:29,,2,38,5449324,6581819,1,2018-03-03 08:36:29
2018-07-10 13:20:01,Champions,1,4,5449324,6594218,3,2018-07-10 13:20:01
2018-07-11 22:57:01,Good Girls,1,10,5449324,6598516,3,2018-07-11 22:57:01
2018-07-10 19:32:34,Champions,1,7,5449324,6601691,3,2018-07-10 19:32:34
2018-04-27 21:46:35,The Handmaid's Tale,2,2,5449324,6601692,3,2018-04-27 21:46:35
2018-03-17 09:29:39,,2,42,5449324,6603356,1,2018-03-17 09:29:39
2018-10-24 19:10:23,Skam Germany,1,1,5449324,6603588,3,2018-10-24 19:10:23
2018-11-25 20:14:36,My Brilliant Friend,1,2,5449324,6605060,3,2018-11-25 20:14:36
2018-12-26 22:13:24,My Brilliant Friend,1,3,5449324,6605062,3,2018-12-26 22:13:24
2018-12-26 23:40:40,My Brilliant Friend,1,4,5449324,6605063,3,2018-12-26 23:40:40
2018-12-27 00:40:30,My Brilliant Friend,1,5,5449324,6605069,3,2018-12-27 00:40:30
2018-12-27 01:40:56,My Brilliant Friend,1,6,5449324,6605070,3,2018-12-27 01:40:56
2019-01-03 03:02:13,My Brilliant Friend,1,7,5449324,6605071,3,2019-01-03 03:02:13
2018-04-11 22:26:11,You Me Her,3,2,5449324,6605785,3,2018-04-11 22:26:11
2018-04-12 10:16:13,You Me Her,3,3,5449324,6605786,3,2018-04-12 10:16:13
2018-10-26 23:05:20,Heathers,1,4,5449324,6607940,3,2018-10-26 23:05:20
2019-01-08 01:45:42,You,1,10,5449324,6609867,3,2019-01-08 01:45:42
2018-08-08 05:38:21,Kiss Me First,1,1,5449324,6612359,3,2018-08-08 05:38:21
2019-07-20 05:18:20,Sweetbitter,1,2,5449324,6614457,3,2019-07-20 05:18:20
2019-07-20 16:54:11,Sweetbitter,1,3,5449324,6614458,3,2019-07-20 16:54:11
2019-07-20 16:54:01,Sweetbitter,1,4,5449324,6614459,3,2019-07-20 16:54:01
2019-07-20 16:54:23,Sweetbitter,1,5,5449324,6614460,3,2019-07-20 16:54:23
2019-07-21 01:59:24,Sweetbitter,1,6,5449324,6614461,3,2019-07-21 01:59:24
2018-04-10 22:25:05,Siren (2018),1,3,5449324,6622414,3,2018-04-10 22:25:05
2019-12-29 10:58:07,The Haunting,1,1,5449324,6623548,4,2019-12-29 10:58:07
2018-05-12 22:04:59,Siren (2018),1,8,5449324,6624105,4,2018-05-12 22:04:59
2018-04-14 10:43:47,Skam France,2,1,5449324,6625641,1,2018-04-14 10:43:47
2018-04-21 19:14:43,Dynasty (2017),1,19,5449324,6628763,3,2018-04-21 19:14:43
2019-01-01 21:29:32,A Series of Unfortunate Events,3,1,5449324,6631615,3,2019-01-01 21:29:32
2018-05-12 22:05:32,Dynasty (2017),1,22,5449324,6637909,3,2018-05-12 22:05:32
2018-05-22 00:18:57,The Simpsons,29,21,5449324,6639014,3,2018-05-22 00:18:57
2018-04-20 21:18:41,Skam France,2,2,5449324,6646538,3,2018-04-20 21:18:41
2018-07-27 08:33:09,Orange Is the New Black,6,1,5449324,6646742,4,2018-07-27 08:33:09
2018-04-27 17:24:10,Skam France,2,3,5449324,6651929,1,2018-04-27 17:24:10
2019-01-02 22:24:10,A Series of Unfortunate Events,3,2,5449324,6653596,3,2019-01-02 22:24:10
2019-01-02 22:24:20,A Series of Unfortunate Events,3,3,5449324,6653597,3,2019-01-02 22:24:20
2019-01-02 23:18:08,A Series of Unfortunate Events,3,4,5449324,6653598,3,2019-01-02 23:18:08
2019-01-03 00:53:53,A Series of Unfortunate Events,3,5,5449324,6653599,3,2019-01-03 00:53:53
2019-01-03 03:28:49,A Series of Unfortunate Events,3,6,5449324,6653600,3,2019-01-03 03:28:49
2022-06-16 23:45:44,November 13: Attack on Paris,1,2,5449324,6655510,3,2022-06-16 23:45:44
2018-10-20 09:38:59,SKAM Austin,1,1,5449324,6655931,3,2018-10-20 09:38:59
2018-05-06 11:38:42,Skam France,2,5,5449324,6657611,3,2018-05-06 11:38:42
2018-05-11 17:22:13,Skam France,2,6,5449324,6657613,3,2018-05-11 17:22:13
2018-10-20 15:53:48,SKAM Austin,1,2,5449324,6662213,1,2018-10-20 15:53:48
2018-06-22 22:21:52,The Handmaid's Tale,2,10,5449324,6662999,3,2018-06-22 22:21:52
2018-06-09 14:52:37,Sense8,2,12,5449324,6663646,3,2018-06-09 14:52:37
2018-06-22 22:26:56,Nude,1,10,5449324,6667634,3,2018-06-22 22:26:56
2018-05-11 19:36:32,Dear White People,2,6,5449324,6668578,3,2018-05-11 19:36:32
2018-11-28 18:47:17,Elite,1,3,5449324,6671794,3,2018-11-28 18:47:17
2018-12-11 21:23:15,Elite,1,4,5449324,6671800,1,2018-12-11 21:23:15
2018-12-22 10:41:51,Elite,1,5,5449324,6671801,3,2018-12-22 10:41:51
2018-12-22 13:16:49,Elite,1,6,5449324,6671802,3,2018-12-22 13:16:49
2018-12-22 14:12:11,Elite,1,7,5449324,6671803,3,2018-12-22 14:12:11
2018-05-20 20:58:39,13 Reasons Why,2,5,5449324,6674476,3,2018-05-20 20:58:39
2018-05-20 20:59:22,13 Reasons Why,2,6,5449324,6674477,3,2018-05-20 20:59:22
2018-10-27 00:01:26,Heathers,1,5,5449324,6675975,3,2018-10-27 00:01:26
2018-10-09 17:34:43,Into the Dark,1,1,5449324,6677515,3,2018-10-09 17:34:43
2018-07-05 15:46:25,Westworld,2,6,5449324,6677615,3,2018-07-05 15:46:25
2018-07-05 17:03:53,Westworld,2,7,5449324,6678437,3,2018-07-05 17:03:53
2018-07-05 19:11:07,Westworld,2,8,5449324,6678438,3,2018-07-05 19:11:07
2018-07-05 20:41:44,Westworld,2,9,5449324,6678938,3,2018-07-05 20:41:44
2018-07-05 01:02:06,The Handmaid's Tale,2,12,5449324,6680177,3,2018-07-05 01:02:06
2018-08-10 16:56:31,The House of Flowers,1,1,5449324,6681116,3,2018-08-10 16:56:31
2018-08-26 20:38:46,Disenchantment,1,4,5449324,6699489,3,2018-08-26 20:38:46
2018-12-22 21:53:46,Pokémon,18,77,5449324,6700307,3,2018-12-22 21:53:46
2018-09-02 15:35:12,Sharp Objects,1,0,5449324,6704942,3,2018-09-02 15:35:12
2019-06-22 21:23:37,Super Drags,1,1,5449324,6709396,4,2019-06-22 21:23:37
2019-01-27 20:40:30,Unbreakable Kimmy Schmidt,4,7,5449324,6709616,3,2019-01-27 20:40:30
2018-10-22 00:18:00,Big Mouth,2,7,5449324,6717905,3,2018-10-22 00:18:00
2018-07-08 12:11:56,Marlon,2,5,5449324,6726023,3,2018-07-08 12:11:56
2018-07-08 13:40:43,Marlon,2,7,5449324,6726024,3,2018-07-08 13:40:43
2018-10-26 22:30:27,Legacies,1,0,5449324,6733478,3,2018-10-26 22:30:27
2018-11-21 13:38:48,Bodyguard (2018),1,1,5449324,6733508,4,2018-11-21 13:38:48
2018-07-27 12:48:57,Orange Is the New Black,6,5,5449324,6737734,4,2018-07-27 12:48:57
2018-07-27 13:44:31,Orange Is the New Black,6,6,5449324,6737735,4,2018-07-27 13:44:31
2018-07-27 14:40:57,Orange Is the New Black,6,7,5449324,6737738,4,2018-07-27 14:40:57
2018-07-27 16:26:56,Orange Is the New Black,6,8,5449324,6737741,3,2018-07-27 16:26:56
2018-07-27 21:21:04,Orange Is the New Black,6,11,5449324,6737745,4,2018-07-27 21:21:04
