type,vote_type,created_at,network_platform,user_id,id,episode_id,range_key,hash_key,series_name,episode_number,season_number
selection,how-did-you,2021-05-19 16:53:38,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:<nil> country:<nil> created_at:-6.21355968e+10 display_name:<nil> external_id:<nil> logo_color:<nil> logo_name:<nil> logo_url:<nil> logos:map[selected_dark_mode:<nil> selected_light_mode:<nil> unselected_dark_mode:<nil> unselected_light_mode:<nil>] name_slug:<nil> network_id:<nil> platform:<nil> platform_type:<nil> type:<nil> updated_at:-6.21355968e+10],5449324,8bff38d2-97b4-4023-a78a-93099dcdff25,0,5449324,2b5a59a8-7b4e-4c34-9b94-0102be710d2f,,,
selection,where-did-you,2022-01-28 20:52:08,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:Other country:FR created_at:1.559112773e+09 display_name:Other external_id:tvtime-other-FR external_source_type:<nil> is_cascaded:false logo_color:#777777 logo_name:* logo_url:<nil> logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/other/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/other/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/other/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/other/unselected-light-mode.png] name_slug:other-01109d08-7513-4ddd-8990-6799d11004b8 network_id:01109d08-7513-4ddd-8990-6799d11004b8 platform:other platform_type:other type:network_platform_source updated_at:1.559112773e+09],5449324,406a5cb6-b4cf-46ff-90c0-9d1affb58751,8470762,8470762-5449324,365069,Why Women Kill,8,2
selection,where-did-you,2022-07-26 19:43:29,map[app_bundle_id:com.netflix.mediaclient app_download_link:<nil> app_link:<nil> app_name:Netflix country:FR created_at:1.658864609e+09 display_name:Netflix external_id:tvtime-netflix external_source_type:<nil> is_cascaded:false logo_color:#e80000 logo_name:N logo_url:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/network-netflix-logo.png logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/unselected-light-mode.png] name_slug:netflix-57598952-9f00-4783-905e-cae5ac8c47dc network_id:57598952-9f00-4783-905e-cae5ac8c47dc platform:other platform_type:other type:network_platform_source updated_at:1.658864609e+09],5449324,1f250d5f-a9fe-4900-a682-ae9e4ab5062f,9229044,9229044-5449324,416054,Queen (2022),2,1
selection,where-did-you,2022-06-06 01:07:15,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:Canal+ country:FR created_at:1.654477635e+09 display_name:Canal+ external_id:tvtime-canal+ external_source_type:<nil> is_cascaded:false logo_color:<nil> logo_name:C logo_url:<nil> logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/canal/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/canal/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/canal/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/canal/unselected-light-mode.png] name_slug:canal+-99c93f88-f2b0-4a79-ae87-eb55e7d8f8f2 network_id:99c93f88-f2b0-4a79-ae87-eb55e7d8f8f2 platform:other platform_type:other type:network_platform_source updated_at:1.654477635e+09],5449324,ddc79c22-a409-4b7c-9878-1380fcb94c6d,9201129,9201129-5449324,420427,A Very Ordinary World,8,1
selection,where-did-you,2022-06-16 21:41:39,map[app_bundle_id:com.netflix.mediaclient app_download_link:<nil> app_link:https://www.netflix.com/watch/81351928 app_name:Netflix country:FR created_at:1.655414583e+09 display_name:Netflix external_id:821e9d2f-d9ef-4c58-b5c4-884f6a60da34 external_source_type:SVOD is_cascaded:false logo_color:#e80000 logo_name:N logo_url:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/network-netflix-logo.png logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/unselected-light-mode.png] name_slug:netflix-821e9d2f-d9ef-4c58-b5c4-884f6a60da34 network_id:821e9d2f-d9ef-4c58-b5c4-884f6a60da34 platform:<nil> platform_type:purchase type:network_platform_source updated_at:1.655414583e+09],5449324,a5d42c46-8a10-4d68-a393-166e9c8bd523,9115516,9115516-5449324,390403,Rhythm + Flow France,1,1
selection,where-did-you,2023-05-05 20:05:38,map[app_bundle_id:kadatv.france app_download_link:<nil> app_link:https://www.france.tv/slash/skam-france/saison-11/4712779-faux-depart-integral.html app_name:France TV country:FR created_at:1.683316453e+09 display_name:France TV external_id:aec26fd3-94c6-4ad0-9906-dc9a87d6cf48 external_source_type:AVOD is_cascaded:true logo_color:<nil> logo_name:F logo_url:<nil> logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/francetv/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/francetv/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/francetv/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/francetv/unselected-light-mode.png] name_slug:france-tv-aec26fd3-94c6-4ad0-9906-dc9a87d6cf48 network_id:aec26fd3-94c6-4ad0-9906-dc9a87d6cf48 platform:<nil> platform_type:free type:network_platform_source updated_at:1.683316453e+09],5449324,1e517b54-39ca-43e9-af6a-199bd4e032e7,9640350,9640350-5449324,341902,Skam France,10,11
selection,where-did-you,2026-02-22 00:30:34,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:Theater country:FR created_at:1.559112773e+09 display_name:Theater external_id:tvtime-theater-FR external_source_type:<nil> full_logo_url:<nil> is_cascaded:false logo_color:#777777 logo_name:* logo_url:<nil> logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/theater/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/theater/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/theater/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/theater/unselected-light-mode.png] name_slug:theater-2f1147ab-2503-45e7-bb42-15a1446ca897 network_id:2f1147ab-2503-45e7-bb42-15a1446ca897 platform:theater platform_type:theater type:network_platform_source updated_at:1.559112773e+09],5449324,6923eb5e-81b7-4672-ab70-faf684bccfe3,0,5449324,bd2f5e11-74bd-4bec-9911-3c489864c9dd,,,
selection,where-did-you,2022-06-05 15:20:00,map[app_bundle_id:<nil> app_download_link:<nil> app_link:<nil> app_name:Unofficial country:us created_at:1.559112773e+09 display_name:Unofficial external_id:tvtime-unofficial external_source_type:<nil> is_cascaded:false logo_color:#777777 logo_name:* logo_url:<nil> logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/unofficial/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/unofficial/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/unofficial/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/unofficial/unselected-light-mode.png] name_slug:unofficial-5dea16e9-fe85-4c85-83a1-b3ba4dc14a30 network_id:5dea16e9-fe85-4c85-83a1-b3ba4dc14a30 platform:unofficial platform_type:unofficial type:network_platform_source updated_at:1.559112773e+09],5449324,f3278c1b-bead-4c53-a093-d1f2f5c33135,0,5449324,e11c4377-0e7a-4eea-8fff-b01d1af37669,,,
selection,where-did-you,2021-08-17 23:36:15,map[app_bundle_id:com.netflix.mediaclient app_download_link:<nil> app_link:https://www.netflix.com/title/81026819 app_name:Netflix country:FR created_at:1.629242451e+09 display_name:Netflix external_id:fr.netflix external_source_type:SVOD is_cascaded:false logo_color:#e80000 logo_name:N logo_url:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/network-netflix-logo.png logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/netflix/unselected-light-mode.png] name_slug:netflix-cbb2baca-4615-49e9-8dc7-aa4596ea1183 network_id:cbb2baca-4615-49e9-8dc7-aa4596ea1183 platform:<nil> platform_type:purchase type:network_platform_source updated_at:1.629242451e+09],5449324,d6fe425d-3a09-46bf-8c66-5ddcfe3537b7,0,5449324,8e767db7-cecb-4eda-9879-1abb2dff786c,,,
selection,where-did-you,2022-01-21 12:25:27,map[app_bundle_id:com.disney.disneyplus app_download_link:<nil> app_link:https://www.disneyplus.com/series/monsters-at-work/6ci9sdc0MA6a app_name:Disney+ country:FR created_at:1.642767923e+09 display_name:Disney+ external_id:fr.disneyplus external_source_type:SVOD is_cascaded:false logo_color:<nil> logo_name:D logo_url:<nil> logos:map[selected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/disney/selected-dark-mode.png selected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/disney/selected-light-mode.png unselected_dark_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/disney/unselected-dark-mode.png unselected_light_mode:https://d36rlb2fgh8cjd.cloudfront.net/logos/networks/disney/unselected-light-mode.png] name_slug:disney+-cea5193e-1aa8-480f-a065-44a9ad9e1efd network_id:cea5193e-1aa8-480f-a065-44a9ad9e1efd platform:<nil> platform_type:purchase type:network_platform_source updated_at:1.642767923e+09],5449324,f5e75366-e544-4aa0-bd8b-93ae3d88810b,8441562,8441562-5449324,362280,Monsters at Work,1,1
